,Question_ID,Questions,Answers,
0,1590140,<start> what is mental illness ? <end>,"<start> mental illnesses are health conditions that disrupt a person s thoughts , emotions , relationships , and daily functioning . <end>",
0,1590140,<start> what does mental illness cause ? <end>,<start> mental illnesses cause distress and diminished capacity to engage in the ordinary activities of daily life . <end>,
1,2110618,<start> who does mental illness affect ? <end>,"<start> mental illness can affect anyone regardless of gender , age , income , social status , ethnicity , religion , sexual orientation , or background . <end>",
2,6361820,<start> what causes mental illness ? <end>,"<start> possible causes of mental illness include genetics, infections, brain defects or injury, prenatal damage, substance abuse and other factors . <end>",
3,9434130,<start> what are some of the warning signs of mental illness ? <end>,"<start> some of the warning signs of mental illness are confused thinking, long lasting sadness, irritability, extreme highs and lows in mood, excessive fear , worrying or anxiety, social withdrawal, dramatic changes in eating or sleeping habits and strong feelings of anger . <end>",
3,9434130,<start> what are some of the more serious warning signs of mental illness ? <end>,"<start> some of the more serious signs of mental illness are delusions or hallucinations, seeing or hearing things that are not really there, increasing inability to cope with daily problems and activities and thoughts of suicide <end>",
4,7657263,<start> can people with mental illness recover ? <end>,<start> people can recover from mental illness but early identification and treatment are of vital importance . <end>,
4,7657263,<start> how can people with mental illness recover ? <end>,<start> people can recover from mental illness through a wide range of effective treatments that are specific to the particular type of mental illness . <end>,
5,1619387,<start> what should i do if i know someone who appears to have the symptoms of a mental disorder ? <end>,<start> if you know someone who has the symptoms of a mental disorder talk to friends and family members and seek the counsel of a mental health professional . <end>,
6,1030153,<start> how can i find a mental health professional for myself ? <end>,<start>  finding the mental health professional who best fits your needs may require research . start by searching for providers in your area . <end>,
6,1030153,<start> how can i find a mental health professional for my child ? <end>,<start>  finding the mental health professional who best fits your needs may require research . start by searching for providers in your area . <end>,
6,1030153,<start> how can i find a mental health professional for myself or my child ? <end>,<start>  finding the mental health professional who best fits your needs may require research . start by searching for providers in your area . <end>,
7,8022026,<start> what treatment options are available ? <end>,<start> different treatment options are available for individuals with mental illness depending on the specific type of mental illness. <end>,
7,8022026,<start> what treatment options are available for myself ? <end>,<start> different treatment options are available for individuals with mental illness depending on the specific type of mental illness. <end>,
7,8022026,<start> what treatment options are available for my child ? <end>,<start> different treatment options are available for individuals with mental illness depending on the specific type of mental illness. <end>,
7,8022026,<start> what treatment options are available for myself or my child ? <end>,<start> different treatment options are available for individuals with mental illness depending on the specific type of mental illness. <end>,
9,7760466,<start> what is the difference between mental health professionals ? <end>,"<start> there are many different types of mental health professionals each with various levels of education , training , and different areas of expertise  . <end>",
10,2553795,<start> how can i find a mental health professional ? <end>,<start>  finding the mental health professional who best fits your needs may require some research . There are many online resources to find mental health professionals in your community <end>,
10,2553795,<start> how can i find a mental health professional for my child ? <end>,<start>  finding the mental health professional who best fits your child's needs may require some research . There are many online resources to find mental health professionals in your community <end>,
10,2553795,<start> how can i find a mental health professional for myself or my child ? <end>,<start>  finding the mental health professional who best fits your needs or your child's may require some research . There are many online resources to find mental health professionals in your community <end>,
11,1259439,<start> if i become involved in treatment what do i need to know ? <end>,"<start> becoming involved in treatment is a big step for individuals and families and can be very overwhelming . the best place to start is by talking with someone you trust about your concerns such as a family member , friend , clergy , healthcare provider , or other professionals . having social support is essential in healing from mental illness . <end>",
13,3388962,<start> what should i know before starting a new medication ? <end>,<start> the best source of information regarding medications is the doctor prescribing them . <end>,
14,5343181,<start> if i feel better after taking medication , does this mean i am cured and can stop taking it ? <end>,<start> No . if you feel better after taking medication it is very important that you work together with your doctor before making decisions about any changes in your treatment . <end>
15,5778437,<start> how can i get help paying for my medication ? <end>,<start> some pharmaceutical companies offer help to pay for medication. They offer prescription assistance programs to individuals and families with financial need . <end>,
16,9541219,<start> where can i go to find therapy ?<end>,<start> you can ask your doctor or mental health care team and search online for resources on where you can go to find therapy . <end>,
17,3268009,<start> where can i learn about types of mental health treatment ? <end>,<start> you can learn about types of mental health treatment by asking your doctor or your mental health care team and searching online to learn more about different types of treatment . <end>,
17,3268009,<start> what types of mental health treatment are available ? <end>,"<start> there are many different types of mental health treatment available such as medication, therapy, complementary alternative treatments , self help plans , and peer support . treatments are very personal and should be discussed with your mental health care team . <end>",
18,3340726,<start> what are the different types of mental health professionals ? <end>,"<start> there are many types of mental health professionals such as psychiatrist, child psychiatrist, psychologist, social worker, licensed professional counselor and mental health counselor . <end>",
18,3340726,<start> How do I find the right type of mental health professional ? <end>,"<start> finding the right type of mental health professional may require some research , search online for resources in your community. <end>",
18,3340726,<start> How do I find the right type of mental health professional ? <end>,"<start> finding the right type of mental health professional may require some research , search online for resources in your community . <end>",
18,3340726,<start> How do I find the right type of mental health professional for myself ? <end>,"<start> finding the right type of mental health professional may require some research , search online for resources in your community. <end>",
